               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090858,            0.042487,                   0,             0.32092,              0.5878,             0.35562,            0.089277,            0.060864,            0.037657,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.054769,            0.043378,                   0,              0.7918,             0.88889,             0.85657,             0.28592,             0.05005,            0.026952,                   0,            0.039003,           0.0053185,           0.0053185
                   2,            0.046463,            0.034638,                   0,             0.99064,             0.98006,             0.99435,             0.52619,            0.036153,            0.022011,                   0,           0.0063697,           0.0060188,           0.0060188
                   3,             0.03908,            0.028279,                   0,             0.99854,             0.99691,               0.995,             0.55204,            0.028238,            0.019293,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.034822,            0.022732,                   0,             0.99385,             0.99728,             0.99497,             0.72685,             0.02681,            0.015474,                   0,             0.00406,             0.00406,             0.00406
