               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090811,            0.042574,                   0,             0.20151,             0.40113,             0.16917,            0.047019,            0.055971,            0.034014,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.054291,            0.043249,                   0,             0.47832,              0.7963,             0.56932,             0.21526,             0.04893,            0.025125,                   0,            0.039003,           0.0053185,           0.0053185
                   2,            0.046747,            0.034645,                   0,             0.98637,             0.97531,             0.98906,             0.53803,            0.036752,            0.021404,                   0,           0.0063697,           0.0060188,           0.0060188
                   3,            0.038802,            0.028103,                   0,             0.99802,             0.98148,             0.99464,             0.55799,            0.031109,            0.017496,                   0,             0.00406,             0.00406,             0.00406
                   4,             0.03527,            0.022793,                   0,             0.99898,             0.99691,               0.995,              0.6591,            0.024723,            0.014634,                   0,             0.00406,             0.00406,             0.00406
