               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090906,            0.042524,                   0,             0.37443,             0.50309,             0.39836,             0.13383,            0.056535,            0.037486,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.054466,            0.043292,                   0,             0.46334,             0.88272,             0.54264,             0.22402,            0.048205,            0.026941,                   0,            0.039003,           0.0053185,           0.0053185
                   2,            0.046229,            0.034466,                   0,             0.99379,             0.98765,             0.99269,             0.50938,            0.032077,            0.022254,                   0,           0.0063697,           0.0060188,           0.0060188
                   3,            0.038771,            0.027994,                   0,                   1,             0.99031,               0.995,             0.58109,             0.02872,            0.017867,                   0,             0.00406,             0.00406,             0.00406
                   4,            0.034863,            0.022831,                   0,             0.99916,                   1,               0.995,             0.73152,            0.022677,            0.015931,                   0,             0.00406,             0.00406,             0.00406
